Primary Dealer,Start Date,End Date,gvkey
"AUBREY G. LANSTON & CO., INC.      ",1960/5/19,00:00.0,11687
BANKERS TRUST                       ,1960/5/19,00:00.0,
BARTOW LEEDS & CO.                  ,1960/5/19,00:00.0,
"C.F. CHILDS & CO., INC              ",1960/5/19,00:00.0,
CHEMICAL                           ,1960/5/19,00:00.0,2968
CHEMICAL                           ,1960/5/19,00:00.0,2968
CONTINENTAL ILL.                    ,1960/5/19,00:00.0,
"D.W. RICH & CO., INC                ",1960/5/19,00:00.0,
DISCOUNT CORPORATION OF NEW YORK    ,1960/5/19,00:00.0,
DREXEL BURNHAM LAMBERT             ,1960/5/19,00:00.0,144496
FIRST CHICAGO                      ,1960/5/19,00:00.0,144496
"IRVING SECURITIES, INC.             ",1960/5/19,00:00.0,144496
"J.P.MORGAN SECURITIES,INC.          ",1960/5/19,00:00.0,144496
MALON S. ANDRUS INC.                ,1960/5/19,00:00.0,10559
MERRILL LYNCH GOVERNMENT SEC. INC. ,1960/5/19,00:00.0,
SALOMON BROTHERS INC.              ,1960/5/19,00:00.0,
SECURITIES GROUPS                   ,1960/5/19,00:00.0,15706
THE FIRST BOSTON CORPORATION       ,1960/5/19,00:00.0,2612
"WM. E. POLLOCK GOV'T SECURITIES,INC ",1960/5/19,00:00.0,60841
CITIBANK                            ,1961/6/15,00:00.0,60841
"SECOND DISTRICT SECURITIES CO., INC ",1961/6/15,00:00.0,60841
"BLYTH & CO., INC.                   ",1962/4/16,00:00.0,12406
FIRST INTERSTATE                    ,1964/7/31,00:00.0,
HARRIS TRUST                       ,1965/7/15,00:00.0,
F.I. DUPONT & CO                    ,1968/12/12,00:00.0,9577
CHASE MANHATTAN GOV'T SECURITIES    ,1970/7/15,00:00.0,
BANK OF AMERICA NT & SA            ,1971/11/17,00:00.0,
BECKER                              ,1971/11/17,00:00.0,
NUVEEN GOV'T SEC. INC.              ,1971/11/18,00:00.0,
"PAINE, WEBBER, JACKSON & CURTIS INC.",1972/6/22,00:00.0,
LEHMAN GOV'T SEC. INC.              ,1973/2/22,00:00.0,
NORTHERN TRUST                      ,1973/8/8,00:00.0,
DLJ SECURITIES CORPORATION         ,1974/3/6,00:00.0,
FIRST PENNCO SEC. INC.              ,1974/3/7,00:00.0,60841
"GOLDMAN, SACHS & CO.               ",1974/12/4,23:01.7,114628
BLYTH EASTMAN DILLON CAPITAL MARKETS,1974/12/5,00:00.0,
"MIDLAND-MONTAGU GOV. SEC.,INC. ",1975/8/13,00:00.0,163770
PRUDENTIAL-BACHE               ,1975/10/29,00:00.0,
"WHITE, WELD & CO INC.               ",1976/2/26,00:00.0,15633
"WEEDEN & CO., INC.                  ",1976/6/17,00:00.0,15633
CARROLL MCENTEE & MCGINLEY INC.     ,1976/9/29,00:00.0,143356
LEHMAN                              ,1976/11/25,00:00.0,143356
PAINE WEBBER INCORPORATED           ,1976/11/25,00:00.0,15532
DEAN WITTER REYNOLDS INC.          ,1977/11/2,00:00.0,8299
HUTTON                              ,1977/11/2,00:00.0,8299
MORGAN STANLEY & CO. INCORPORATED  ,1978/2/1,00:00.0,12124
"KIDDER, PEABODY & CO., INCORPORATED",1979/2/7,00:00.0,7982
"SMITH BARNEY, HARRIS UPHAM & CO.,INC",1979/8/22,00:00.0,15613
"KLEINWORT BENSON  GOV'T SEC., INC.  ",1980/2/13,00:00.0,15613
REFCO PARTNERS                     ,1980/11/19,00:00.0,15580
"BEAR,STEARNS & CO., INC.           ",1981/6/10,00:00.0,2968
"BEAR,STEARNS & CO., INC.           ",1981/6/10,00:00.0,2968
FIRST N/B OF BOSTON                 ,1983/3/21,00:00.0,
SOUTHERN CALIF S&L ASSOC           ,1983/6/7,00:00.0,
MANUFACTURERS HANOVER               ,1983/8/31,00:00.0,
N.Y.HANSEATIC CORP.            ,1984/2/8,00:00.0,
"GREENWICH CAPITAL MARKETS, INC.     ",1984/7/31,00:00.0,12124
"FIRST INTERSTATE CAPITAL MARKETS,INC",1986/11/3,00:00.0,12124
DAIWA SECURITIES AMERICA INC.      ,1986/12/11,00:00.0,248136
"L.F.ROTHSCHILD,UNTERBERG,TOWBIN",1986/12/11,00:00.0,7032
"NOMURA SECURITIES INTERNATIONAL,INC",1986/12/11,00:00.0,177745
SECURITY PACIFIC NATIONAL BANK      ,1986/12/11,00:00.0,9577
THOMSON MCKINNON SECURITIES INC.   ,1986/12/11,00:00.0,7267
WESTPAC POLLOCK GOV'T SECURITIES INC,1987/2/4,00:00.0,7003
"BROPHY,GESTAL, KNIGHT AND CO., L.P.",1987/5/8,00:00.0,7003
"L.F.ROTHSCHILD & CO., INC.     ",1987/5/18,00:00.0,
CHASE MANHATTAN CAPITAL MARKETS CORP,1987/7/1,00:00.0,2943
"CRT GOVERNMENT SECURITIES,INC.     ",1987/12/22,00:00.0,30128
"LLOYDS GOV'T SECURITIES, INC.      ",1987/12/22,00:00.0,30128
THE NIKKO SECURITIES CO. INT'      ,1987/12/22,00:00.0,12406
SHEARSON LEHMAN                     ,1988/1/1,00:00.0,30128
"SANWA-BGK SECURITIES CO., L.P.     ",1988/6/20,00:00.0,
"DILLON, READ & CO., INC.           ",1988/6/24,00:00.0,12223
"S.G. WARBURG & CO., INC.            ",1988/6/24,00:00.0,
"WERTHEIM SCHRODER & CO., INC.       ",1988/6/24,00:00.0,5048
MANUFACTURERS HANOVER SECURITIES COR,1988/8/1,00:00.0,7003
HARRIS GOVERNMENT SECURITIES       ,1988/9/1,00:00.0,6239
"COUNTY NATWEST GOV. SEC., INC.      ",1988/9/29,00:00.0,2968
"YAMAICHI INT'L (AMERICA), INC.     ",1988/9/29,00:00.0,2968
"CONTINENTAL BANK, NATIONAL ASSOC.   ",1988/12/15,00:00.0,3463
"CHASE SECURITIES, INC               ",1988/12/20,00:00.0,2968
"CHASE SECURITIES, INC               ",1988/12/20,00:00.0,2968
"CHEMICAL SECURITIES, INC.          ",1989/4/1,00:00.0,2968
"CHEMICAL SECURITIES, INC.          ",1989/4/1,00:00.0,2968
"CITICORP SECURITIES MARKETS, INC.   ",1989/4/14,00:00.0,3066
BT SECURITIES CORPORATION           ,1989/7/10,00:00.0,2029
"BNY SECURITIES, INC.                ",1989/8/1,00:00.0,5491
BARCLAYS DE ZOETE WEDD GSI          ,1989/12/7,00:00.0,5491
UBS SECURITIES INC.                ,1989/12/7,00:00.0,5491
FUJI SECURITIES INC.               ,1989/12/28,00:00.0,5491
FIRST CHICAGO CAPITAL MARKETS      ,1990/1/2,00:00.0,16951
BARCLAYS DE ZOETE WEDD SECURITIES IN,1990/3/2,00:00.0,114628
"SBC GOVERNMENT SECURITIES, INC.",1990/3/29,00:00.0,248136
LEHMAN GOVERNMENT SECURITIES INC    ,1990/8/1,00:00.0,
DEUTSCHE BANK GSI                   ,1990/12/13,00:00.0,4684
PRUDENTIAL SECURITIES INCORPO  ,1991/2/25,00:00.0,4710
CHEMICAL SECURITIES INC            ,1992/1/1,00:00.0,2968
CHEMICAL SECURITIES INC            ,1992/1/1,00:00.0,2968
EASTBRIDGE CAPITAL INC.             ,1992/6/18,00:00.0,4689
"HARRIS-NESBITT THOMSON SEC., INC.  ",1992/12/31,00:00.0,4689
"NATIONSBANK OF NORTH CAROLINA, N.A.",1993/7/6,00:00.0,7647
"CITICORP SECURITIES, INC.           ",1993/7/15,00:00.0,3066
SMITH BARNEY SHEARSON INC.          ,1993/8/2,00:00.0,
ZIONS FIRST NATIONAL BANK           ,1993/8/11,00:00.0,11687
HARRIS NESBITT THOMSON SEC. INC.   ,1993/9/8,00:00.0,15577
DEUTSCHE BANK SECURITIES CORPORATION,1993/10/1,00:00.0,15577
"NATIONSBANC CAPITAL MARKETS, INC.  ",1993/10/1,00:00.0,7647
CS FIRST BOSTON CORPORATION        ,1993/10/12,00:00.0,3689
"SANWA SECURITIES (USA) CO., L      ",1994/1/1,00:00.0,144496
"BA SECURITIES, INC.                ",1994/4/18,00:00.0,2024
"HSBC SECURITIES, INC.               ",1994/5/9,00:00.0,15576
SMITH BARNEY INC.                   ,1994/6/1,00:00.0,15576
SBC CAPITAL MARKETS INC.       ,1995/1/3,00:00.0,15576
NESBITT BURNS SECURITIES INC.      ,1995/6/1,00:00.0,15576
LEHMAN BROTHERS INC.                ,1995/8/31,00:00.0,15576
DEUTSCHE MORGAN GRENFELL/C.J.       ,1995/11/1,00:00.0,3823
UBS SECURITIES LLC                 ,1996/3/1,00:00.0,15483
CIBC WOOD GUNDY SECURITIES CO      ,1996/3/27,00:00.0,15483
"CHASE SECURITIES, INC              ",1996/4/1,00:00.0,
SBC WARBURG INC.               ,1996/6/3,00:00.0,28838
BZW SECURITIES INC.                 ,1996/7/1,00:00.0,
CREDIT SUISSE FIRST BOSTON CO      ,1996/12/16,00:00.0,61840
PARIBAS CORPORATION                 ,1997/5/1,00:00.0,61840
DRESDNER KLEINWORT BENSON NOR  ,1997/5/8,00:00.0,61840
SBC WARBURG DILLON READ INC.   ,1997/9/3,00:00.0,15634
BANCAMERICA ROBERTSON STEPHEN      ,1997/10/1,00:00.0,2024
"NATIONSBANC MONTGOMERY SECUR,      ",1997/10/1,00:00.0,
BT ALEX. BROWN INCORPORATED         ,1997/10/23,00:00.0,1395
CIBC OPPENHEIMER CORP.             ,1997/12/4,00:00.0,3243
BARCLAYS CAPITAL INC.               ,1998/4/1,23:01.7,3243
DEUTSCHE BANK SECURITIES INC.       ,1998/6/1,00:00.0,3243
WARBURG DILLON READ LLC.           ,1998/6/29,00:00.0,3243
"BANCAMERICA SECURITIES, INC.       ",1998/9/1,00:00.0,2024
SALOMON SMITH BARNEY INC.      ,1998/9/1,00:00.0,15581
ABN AMRO INCORPORATED               ,1998/9/29,00:00.0,15581
"NATIONSBANC MONTGOMERY SECUR,      ",1998/10/1,00:00.0,15197
"BANC ONE CAPITAL MARKETS, INC      ",1999/4/1,00:00.0,15197
CIBC WORLD MARKETS CORP.           ,1999/5/3,00:00.0,15197
BANC OF AMERICA SECURITIES LLC           ,1999/5/17,00:00.0,2943
HSBC SECURITIES (USA) INC.          ,1999/6/1,23:01.7,2943
SG COWEN SECURITIES CORP.          ,1999/7/1,00:00.0,2943
BMO NESBITT BURNS CORP.            ,2000/2/15,00:00.0,2943
UBS WARBURG LLC.                   ,2000/5/1,00:00.0,7032
BNP PARIBAS SECURITIES CORP.        ,2000/9/15,23:01.7,127377
DEUTSCH BANC ALEX. BROWN INC.       ,2001/1/12,00:00.0,
DRESDNER KLEINWORT WASSERSTEIN LLC,2001/4/30,00:00.0,12673
J.P. MORGAN SECURITIES INC.        ,2001/5/1,00:00.0,2029
DEUTSCHE BANK SECURITIES INC.       ,2002/3/30,23:01.7,15576
MIZUHO SECURITIES USA INC.         ,2002/4/1,23:01.7,
"ABN AMRO BANK, N.V., NY BR          ",2002/12/9,00:00.0,2019
CREDIT SUISSE 1ST BOSTON LLC   ,2003/1/17,00:00.0,15532
CITIGROUP GLOBAL MARKETS INC.  ,2003/4/7,23:01.7,15580
UBS SECURITIES LLC.                ,2003/6/9,23:01.7,15580
COUNTRYWIDE SECURITIES CORPORATION,2004/1/15,00:00.0,8299
CREDIT SUISSE SECURITIES (USA) LLC,2006/1/16,23:01.7,30219
CANTOR FITZGERALD & CO.,2006/8/1,23:01.7,
DRESDNER KLEINWORT SECURITIES LLC,2006/9/18,00:00.0,
RBS SECURITIES INC.,2009/4/1,23:01.7,
"JEFFERIES & COMPANY, INC.",2009/6/18,00:00.0,12673
RBC CAPITAL MARKETS CORPORATION,2009/7/8,00:00.0,12673
"NOMURA SECURITIES INTERNATIONAL,INC",2009/7/27,23:01.7,12673
DAIWA CAPITAL MARKETS AMERICA INC.,2010/4/1,23:01.7,2029
J.P. MORGAN SECURITIES LLC,2010/9/1,23:01.7,15582
"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",2010/11/1,23:01.7,7647
"RBC CAPITAL MARKETS, LLC",2010/11/1,23:01.7,2014
MF GLOBAL INC.,2011/2/2,00:00.0,2014
"SG AMERICAS SECURITIES, LLC",2011/2/2,23:01.7,2968
MORGAN STANLEY & CO. LLC,2011/5/31,23:01.7,1494
"BANK OF NOVA SCOTIA, NEW YORK AGENCY",2011/10/4,23:01.7,7647
BMO CAPITAL MARKETS CORP. ,2011/10/4,23:01.7,
JEFFERIES LLC,2013/3/1,23:01.7,
TD SECURITIES (USA) LLC,2014/2/11,23:01.7,320764